cop_name,sample_size,iteration,true_param,true_tau,AIC_clayton,AIC_gumbel,AIC_joe,AIC_frank,AIC_gaussian,xv1_clayton,xv1_gumbel,xv1_joe,xv1_frank,xv1_gaussian,xv_CIC_clayton,xv_CIC_gumbel,xv_CIC_joe,xv_CIC_frank,xv_CIC_gaussian,xv_nv_clayton,xv_nv_gumbel,xv_nv_joe,xv_nv_frank,xv_nv_gaussian
gaussian,100,1,0.707106781186547,0.5,65.7404938541399,75.9371338712835,60.7722551565081,70.7767221776708,82.5593916684574,33.5363166677807,38.5830557269769,31.0768303085613,36.0294773434499,41.8616150014839,61.4703977767339,77.2014945918622,61.3454687463497,70.7717674752723,82.7244747128149,0.339582904410712,0.395989969928714,0.312551242492682,0.373413554064927,0.432805088956961
gaussian,100,2,0.707106781186547,0.5,73.5152428174834,76.6699552062076,60.0909209264021,72.7355275232529,81.2871261921158,37.3870417380022,38.9471041041886,30.7405223364978,37.0005535125533,41.2342316308959,71.6068618777011,78.1681831089286,60.5426500044186,72.2459353930625,81.6555516880941,0.360385766282382,0.370511381808565,0.284659830398912,0.351336716417012,0.390460401654442
gaussian,100,3,0.707106781186547,0.5,54.7467025353104,67.5085382610383,53.2088952915688,71.7021422089264,74.7602779123158,28.096269210843,34.4106221128443,27.3328573521488,36.4869410112497,38.0010990815583,48.2599881718488,68.0685495703175,53.9271721730129,71.8491133853902,73.1960438902144,0.280992243917247,0.332902260986916,0.255709583550222,0.359839382866063,0.374224473992893
gaussian,100,4,0.707106781186547,0.5,54.9935138301263,62.041807608234,47.7690580571623,68.7722637344317,70.6106042946736,28.2177144867879,31.7056666014709,24.6424168479092,35.0363100726642,35.9472100669376,50.0555199818212,62.950592935773,48.3446857312268,69.0643281100312,70.1660662663318,0.274798978699484,0.325950706210816,0.250017853705943,0.358690921820506,0.365337718764901
gaussian,100,5,0.707106781186547,0.5,36.9893558605587,69.657858055235,66.112689133011,62.55184863329,64.4488219732761,19.3059202874393,35.4757578924452,33.7229820166699,31.9575391629249,32.8972149661271,33.3034399250379,69.20787145035,65.5661220418536,62.5240206490808,62.6792134614083,0.192993855449045,0.36309366982401,0.339340137361372,0.324886122842907,0.335680102395369
gaussian,100,6,0.707106781186547,0.5,37.167421097028,42.915593496039,33.0833816860278,44.6041683702238,47.9791009597659,19.3926073221802,22.237911446275,17.371363378348,23.0747650424398,24.7450241183827,34.256336133991,43.8159716994052,34.0539667002814,44.3534848808617,47.9057904535628,0.197583925145784,0.229121054072963,0.177244172605189,0.238435279587716,0.25671021661229
gaussian,100,7,0.707106781186547,0.5,64.7926325593452,64.7829469821761,49.8353107474688,63.351994965505,70.762048174136,33.0681018821303,33.0630370983788,25.6645686593532,32.3543737800729,36.022760187309,64.2171465737833,66.1094659402538,49.859721883724,63.3393649176892,71.876477170905,0.332340865728447,0.315870306719172,0.234471880028297,0.314587302505867,0.350212534910318
gaussian,100,8,0.707106781186547,0.5,61.4109212348561,56.1128964320016,39.7298449625056,65.563208883202,67.6291739641701,31.3952312264651,28.7710123053981,20.662299539176,33.4486242404187,34.4715182352108,59.2811653122439,57.6613036925981,40.5495671489629,65.6133201482742,68.3928124231568,0.299295785750266,0.279777104658232,0.194241515404948,0.328198418099191,0.336595655939401
gaussian,100,9,0.707106781186547,0.5,37.5752680141743,47.8262345525332,38.5843224967912,48.2199250429999,54.2483363213904,19.593058613239,24.6676800891069,20.0940909937601,24.8625540722338,27.8464542532304,35.1605689790931,48.8393897360721,39.3251172775375,48.5486782900249,54.4828355193841,0.185261087109194,0.233137349454474,0.18210943620626,0.24140027277586,0.268479723262509
gaussian,100,10,0.707106781186547,0.5,39.2469705044652,56.6174359437028,50.0706021741916,45.5576730921344,55.486789402981,20.4226846598008,29.0200979568376,25.7797422193685,23.5459303108196,28.4607338895584,36.3566044725045,57.1546637666171,50.3729610220328,45.4271779791399,55.2510861093557,0.189217790731699,0.274847909115579,0.23995849205437,0.217678098811472,0.270681571922443
gaussian,100,11,0.707106781186547,0.5,45.5221294949216,51.02250296073,38.5378263316692,57.4589400662671,60.038560289176,23.5281280350908,26.2500985968104,20.0710545712991,29.4359938943295,30.713905095975,41.6519612954987,52.2295966010844,39.5675220083235,57.8314639404505,59.8241304081518,0.212494054049599,0.261367348257151,0.200293441079647,0.288868734262405,0.296378197574648
gaussian,100,12,0.707106781186547,0.5,37.530335907948,61.5830421013949,54.4590135744875,59.1816237634888,63.0841085804201,19.5729899593574,31.4767900678415,27.950754447331,30.2889834527884,32.2209290570891,33.6140782365805,62.2386173368817,55.5931696551822,59.3128112543199,61.8083232418028,0.202332572155047,0.32088443545902,0.280185111871859,0.310350278460429,0.330528649468221
gaussian,100,13,0.707106781186547,0.5,74.0024386852328,71.07862948427,50.74998001405,80.4256356810118,84.2769036457157,37.6250274803789,36.1792839151031,26.117736877235,40.8056099314925,42.7119665215103,68.4385728443627,72.3167185089065,51.1036313698645,80.4791550460351,84.7501160048436,0.36398047558332,0.349089662603876,0.24707062974505,0.393841724008151,0.414946541724124
gaussian,100,14,0.707106781186547,0.5,46.1547081528811,60.0272184016273,50.6898098575145,52.1145882334711,60.177662854118,23.8416197845159,30.708215341595,26.0863914363509,26.7920538612941,30.7836253192811,45.0008873861874,60.9015744906699,50.9146427630074,51.9030998519777,60.3436799293692,0.217643593884787,0.28343676579853,0.235985249043462,0.246285138030678,0.285598124679504
gaussian,100,15,0.707106781186547,0.5,35.0255968491173,39.512813700822,30.9141969032848,40.5243392922601,45.4615207813102,18.3323730977158,20.5530542786581,16.29730481275,21.0542587116646,23.4975112996852,35.053509774831,40.9034527170269,31.9213862767824,40.5397485424185,46.6022990954978,0.181562699928385,0.213661626703712,0.169192405351723,0.214014819691097,0.241070944505636
gaussian,100,16,0.707106781186547,0.5,29.4710887143073,52.8389093828342,47.2326905369884,49.3634952844926,52.8974223299153,15.5827006755188,27.1488000826381,24.3747310948549,25.4289497094856,27.1781240498131,25.7088036335463,52.7923142816726,47.8245563783839,49.554267843342,51.2021343350725,0.142064024059667,0.268137391385706,0.240447825169227,0.247053412761701,0.26336019979453
gaussian,100,17,0.707106781186547,0.5,29.1874524710353,42.2207715112801,34.753745509661,40.0550299992311,41.2195756088598,15.44251432559,21.8947818172412,18.1994081889592,20.8232125952537,21.4000591039984,25.7395344684038,42.0147428267734,34.8442266172726,39.67531501262,39.9291435232303,0.143666342610124,0.213372353369609,0.172110565033491,0.20034221927568,0.208176179912007
gaussian,100,18,0.707106781186547,0.5,49.8808875755123,50.6985108621341,37.2846748489234,55.6582689794284,59.2804960969964,25.6865908179955,26.0907112377585,19.4520973858413,28.5451865612312,30.3388157388939,45.6286592006454,51.5807840439166,37.9176170537076,55.8617580634227,59.1986075881806,0.233297043380852,0.238146540251296,0.168266907011067,0.264623195395555,0.280629031192187
gaussian,100,19,0.707106781186547,0.5,55.3381949054433,51.3088610025324,37.4512460542501,53.6036937115491,57.8895644419888,28.3903196500724,26.3935111426621,19.534550376901,27.5290058929696,29.6523499349612,50.5665944311012,52.0843734619667,37.9646775753146,53.5786748270787,56.9576044141756,0.264797868869303,0.247569181090847,0.178032722227,0.262597975883236,0.280529359130391
gaussian,100,20,0.707106781186547,0.5,49.0305003120931,61.4847044979264,51.2630692287915,57.3382316576524,64.0355534853974,25.2664933896269,31.4295632539912,26.3704468286635,29.377395450326,32.6932055007027,47.6249033285816,62.6290283548143,51.8264575460086,57.2385531906687,64.0171115064437,0.250010522845787,0.308642347786634,0.250548819906197,0.287077301818772,0.321494370399752
